product,Per Serving,Total Fat,Sodium,Sugars,Type
Loacker Quadratini Crispy Wafers - Matcha-Green Tea,100g,24g,420mg,27g,wafer
Alor Durian Wafer 21g x 10,100g,31.1g,61mg,,wafer
Beryl's Coconut Rolls Original,75g,,30mg,23.0g,wafer
Julie's Love Letter Wafer Biscuit Roll - Chocolate,30g,4g,65mg,,wafer
Julie's Love Letter Wafer Biscuit Roll - Strawberry,30g,5g,65mg,12g,wafer
Lee Lemon Cream Wafers,4g,24g,75mg,37g,wafer
Lee S'bery Wafers Sticks,180g,31.6g,48mg,23.2g,wafer
Loacker Classic Mini Crispy Wafers - Assorted,100g,5.1g,,,wafer
Loacker Crispy Wafer Bar - Milk,100g,28g,410mg,27g,wafer
Loacker Crispy Wafer Bar - Cremkakao,100g,26g,310mg,28g,wafer
Mincher Peanut Flavor Wafer,400g,,71mg,10.9g,wafer
Redondo Cream Wafers - Cappuccino,36g,6.5g,81mg,12.6g,wafer
"Schar Schar Wafers with Lemon Cream, Gluten Free",100g,,150mg,33g,wafer
Lee Biscuits Carton - 24 Pack Cheese Cream Wafers Cubes,80g,32.4g,314mg,12.8g,wafer
Lee Biscuits Carton - 24 Pack Strawberry Cream Wafers Cubes,90g,31.6g,48mg,23.2g,wafer
Aladdin Danish Deluxe Waffle Cones,100g,6.9g,,28.6g,wafer
Aladdin Ice Cream Cones,12g,0g,7mg,4g,wafer
Jules Destrooper Biscuits - Butter Crisps,100g,15g,410mg,36g,wafer
Kagi Swiss Chocolate Wafer Minis - Classic,100g,,240mg,38g,wafer
Loacker Classic Mini Crispy Wafers - Vanille,240g,0g,10mg,42.1g,wafer
Loacker Quadratini Crispy Wafers - Chocolate,30g,8.1g,,,wafer
Loacker Quadratini Crispy Wafers - Napolitaner,30g,8.1g,,,wafer
Loacker Quadratini Crispy Wafers - Tiramisu,30g,8.8g,,,wafer
Lee Biscuits Carton - 24 Pack Chocolate Cream Wafers Cubes,90g,26.7g,49mg,30.7g,wafer
Lee Biscuits Carton - 24 Pack Lemon Cream Wafers Cubes,90g,25.5g,62mg,20.7g,wafer
Kagi Swiss Chocolate Wafer Minis - Dark,125g,,140mg,34g,wafer